SAMPLE_OFF:  2250
LINE_OFF:  13898
LON_OFF:    339.199
LAT_OFF:  -1.07363
HEIGHT_OFF:    3396180
SAMPLE_SCALE:    2250.5
LINE_SCALE:   13750.5
LON_SCALE:  1
LAT_SCALE:   1.4026
HEIGHT_SCALE:  3396180
1894.62072754	15794.63281250	137.26553345	-5.63772583	3396042.25000000
2335.42358398	15740.43945312	137.31037903	-5.63223982	3396042.25000000
2783.43457031	15685.31250000	137.35595703	-5.62665939	3396042.25000000
3237.15356445	15629.45117188	137.40211487	-5.62100458	3396042.25000000
3695.53125000	15573.00097656	137.44874573	-5.61529016	3396042.25000000
1894.62072754	15794.63281250	137.26553345	-5.63772583	3396042.25000000
2335.42358398	15740.43945312	137.31037903	-5.63223982	3396042.25000000
2783.43457031	15685.31250000	137.35595703	-5.62665939	3396042.25000000
3237.15356445	15629.45117188	137.40211487	-5.62100458	3396042.25000000
3695.53125000	15573.00097656	137.44874573	-5.61529016	3396042.25000000
4157.21777344	15516.08398438	137.49571228	-5.60952854	3396042.25000000
4621.46386719	15458.82421875	137.54293823	-5.60373211	3396042.25000000
5087.06884766	15401.33691406	137.59030151	-5.59791279	3396042.25000000
5553.28320312	15343.75683594	137.63772583	-5.59208393	3396042.25000000
6018.75683594	15286.24609375	137.68507385	-5.58626223	3396042.25000000
1834.29138184	15298.61132812	137.25946045	-5.58751392	3396042.25000000
2275.13232422	15244.41796875	137.30430603	-5.58202791	3396042.25000000
2723.33178711	15189.29101562	137.34989929	-5.57644749	3396042.25000000
3177.08959961	15133.42480469	137.39605713	-5.57079220	3396042.25000000
3635.35668945	15076.96972656	137.44267273	-5.56507730	3396042.25000000
4097.23291016	15020.05761719	137.48965454	-5.55931616	3396042.25000000
4561.36816406	14962.79785156	137.53686523	-5.55351973	3396042.25000000
5027.16308594	14905.31152344	137.58424377	-5.54770041	3396042.25000000
5493.56689453	14847.73046875	137.63168335	-5.54187155	3396042.25000000
5958.93017578	14790.21582031	137.67901611	-5.53604937	3396042.25000000
1773.80773926	14802.83496094	137.25337219	-5.53732681	3396042.25000000
2214.68627930	14748.63183594	137.29821777	-5.53183985	3396042.25000000
2662.77368164	14693.50000000	137.34379578	-5.52625895	3396042.25000000
3116.72045898	14637.63378906	137.38996887	-5.52060366	3396042.25000000
3575.02636719	14581.17480469	137.43658447	-5.51488829	3396042.25000000
4036.79150391	14524.25781250	137.48355103	-5.50912666	3396042.25000000
4501.11621094	14466.99316406	137.53077698	-5.50332975	3396042.25000000
4966.95019531	14409.50585938	137.57815552	-5.49751043	3396042.25000000
5433.39355469	14351.92089844	137.62559509	-5.49168110	3396042.25000000
5898.79541016	14294.40625000	137.67292786	-5.48585892	3396042.25000000
1713.46936035	14306.94042969	137.24729919	-5.48712778	3396042.25000000
2154.53540039	14252.74218750	137.29216003	-5.48164129	3396042.25000000
2602.66064453	14197.61523438	137.33773804	-5.47606087	3396042.25000000
3056.64550781	14141.74902344	137.38391113	-5.47040558	3396042.25000000
3514.98999023	14085.29394531	137.43052673	-5.46469069	3396042.25000000
3976.94409180	14028.37792969	137.47750854	-5.45892906	3396042.25000000
4441.30761719	13971.11718750	137.52473450	-5.45313263	3396042.25000000
4907.18066406	13913.63574219	137.57211304	-5.44731379	3396042.25000000
5373.51269531	13856.05468750	137.61953735	-5.44148493	3396042.25000000
5839.10351562	13798.54492188	137.66688538	-5.43566322	3396042.25000000
1652.82666016	13811.15429688	137.24119568	-5.43693972	3396042.25000000
2093.77954102	13756.95117188	137.28604126	-5.43145275	3396042.25000000
2542.09252930	13701.82031250	137.33163452	-5.42587185	3396042.25000000
2996.11523438	13645.94921875	137.37780762	-5.42021608	3396042.25000000
3454.49780273	13589.49414062	137.42442322	-5.41450119	3396042.25000000
3916.49023438	13532.57714844	137.47140503	-5.40873957	3396042.25000000
4380.89257812	13475.31738281	137.51863098	-5.40294313	3396042.25000000
4846.80419922	13417.82617188	137.56600952	-5.39712334	3396042.25000000
5313.32470703	13360.24511719	137.61344910	-5.39129448	3396042.25000000
5778.80419922	13302.73535156	137.66078186	-5.38547277	3396042.25000000
1592.17932129	13315.02929688	137.23509216	-5.38671732	3396042.25000000
2033.16882324	13260.82128906	137.27993774	-5.38122988	3396042.25000000
2481.51904297	13205.69042969	137.32553101	-5.37564898	3396042.25000000
2935.57934570	13149.81933594	137.37170410	-5.36999321	3396042.25000000
3394.14990234	13093.35937500	137.41833496	-5.36427784	3396042.25000000
3856.03051758	13036.44335938	137.46530151	-5.35851622	3396042.25000000
4320.62060547	12979.18261719	137.51254272	-5.35271978	3396042.25000000
4786.57080078	12921.69140625	137.55992126	-5.34689999	3396042.25000000
5253.12939453	12864.11035156	137.60736084	-5.34107113	3396042.25000000
5718.64697266	12806.60058594	137.65469360	-5.33524942	3396042.25000000
1531.82824707	12819.18261719	137.22901917	-5.33652306	3396042.25000000
1972.85412598	12764.97460938	137.27386475	-5.33103561	3396042.25000000
2421.24121094	12709.83789062	137.31945801	-5.32545424	3396042.25000000
2875.33886719	12653.96777344	137.36563110	-5.31979847	3396042.25000000
3333.94677734	12597.50781250	137.41226196	-5.31408310	3396042.25000000
3796.01513672	12540.58593750	137.45924377	-5.30832100	3396042.25000000
4260.49316406	12483.32128906	137.50646973	-5.30252409	3396042.25000000
4726.63134766	12425.83496094	137.55386353	-5.29670477	3396042.25000000
5193.22802734	12368.25390625	137.60130310	-5.29087591	3396042.25000000
5658.78320312	12310.73925781	137.64863586	-5.28505373	3396042.25000000
